run,precision,recall,f1,specificity
26,0.6998417904734547,0.7019397055386772,0.6895796845561059,0.9784856510719984
27,0.6997455545184578,0.7020331853236738,0.6896425389119558,0.9784979819898879
28,0.699589322017506,0.701519046506193,0.6892663517518837,0.9784547564641677
29,0.7004917399356676,0.7024071044636597,0.6901462120286842,0.9785163466949423
30,0.7001607261860902,0.7021266651086703,0.6899413322289932,0.9785240075995697
31,0.6998067683964303,0.7012853470437018,0.6891424822102958,0.9784351096508213
32,0.6996694124861629,0.702266884786165,0.6898447942862499,0.9785127900207022
33,0.7006007433035509,0.7023603645711615,0.6900453025370596,0.9785106639356961
34,0.6994286611385122,0.7020331853236738,0.6895890856008422,0.9784901941253239
35,0.6993987956403863,0.7013788268286983,0.6891884850514979,0.9784642063505212
36,0.7012493845379764,0.7029679831736387,0.6909768475632021,0.9785704179864747
37,0.7005611260078742,0.7023136246786632,0.6900404435584591,0.9785097522614954
38,0.7004435715730827,0.7025940640336528,0.6903653013252572,0.9785423332153331
39,0.6999536879852145,0.7018462257536807,0.6896177788315525,0.9784878419424243
40,0.6999303962289612,0.7021734050011685,0.6897758967703471,0.978508084148864
41,0.7006517825835603,0.702640803926151,0.6904113201565436,0.9785253738610625
42,0.7003243700294701,0.702266884786165,0.6900206110896498,0.9785352497474541
43,0.6998858292052852,0.7023136246786632,0.689838216018592,0.9784982010381084
44,0.6998771384075039,0.7019397055386772,0.6895861201637311,0.9784905902987413
45,0.6994822459886042,0.7012386071512036,0.6889855837720922,0.978453166530137
46,0.7017466140326754,0.7032484225286282,0.6909868105983661,0.9785563479001581
47,0.700636309378389,0.7027342837111474,0.690638005297052,0.9785561274194599
48,0.7005971443185562,0.7028745033886422,0.6907017715231799,0.9785510731356188
49,0.7001404457361543,0.7019397055386772,0.6897992689185078,0.9784776210571975
50,0.7009004398792079,0.7027342837111474,0.6906612634651255,0.9785651709003756
51,0.7010154676320971,0.703014723066137,0.6909183049216783,0.978560304272001
52,0.7005258995885096,0.7023603645711615,0.6903527499458858,0.9785173353623854
53,0.7003038086080431,0.7023603645711615,0.6900716217886096,0.9785201609728957
54,0.699723717847613,0.7023136246786632,0.6899602178846459,0.9785082663613236
55,0.6997744138808832,0.7017527459686843,0.689482909266631,0.9784701016649132
56,0.7005659578717853,0.7029212432811405,0.6904222738210296,0.9785549207955432
57,0.7007479494610587,0.7026875438186492,0.6904019300251575,0.9785434198967835
58,0.6991392946742521,0.7016125262911895,0.6893351425411278,0.9784704510790881
59,0.7006065327892064,0.7024071044636597,0.6902830513131732,0.9785257927723015
60,0.7005521795120729,0.7025473241411545,0.690360263654058,0.978535367820696
61,0.7002321352108456,0.702079925216172,0.6899643414661016,0.9784900923875194
62,0.7001918375608809,0.7025005842486562,0.6902441161810741,0.9785213440019371
63,0.7006091058456992,0.7025940640336528,0.690334403809106,0.9785156064172049
64,0.699843280309723,0.7019864454311755,0.6899770612091108,0.9784971354120034
65,0.7005480040537283,0.7025473241411545,0.6903543823377621,0.9785498684740643
66,0.7001089858290054,0.702266884786165,0.6898780948490473,0.9785050842209408
67,0.6999286073822156,0.7019864454311755,0.6896820878172154,0.9784740402798213
68,0.7010448060157244,0.7026875438186492,0.6905752529896534,0.978537538245142
69,0.7002430279226142,0.7020331853236738,0.6898653312440173,0.9784971591346121
70,0.6999383078998715,0.7022201448936668,0.6900029816412843,0.9785210370834185
71,0.700627930408492,0.7025940640336528,0.69033470160158,0.9785452118873589
72,0.6997122675866602,0.701892965646179,0.689697953579797,0.9784969669441308
73,0.7005122737458997,0.7022201448936668,0.6901104482125102,0.9785069232488991
74,0.7007893386405293,0.7025940640336528,0.690481754125777,0.9785266535572683
75,0.6998210236360206,0.701892965646179,0.6894302628682355,0.9784947804164608
76,0.7004580840583181,0.7025005842486562,0.6904039211587654,0.9785404674659391
77,0.7003878783724037,0.702266884786165,0.6900830918816662,0.9785226414080697
78,0.699576649069236,0.7016592661836878,0.6892839650387886,0.9784727293189919
79,0.700277334700847,0.702453844356158,0.6901613685802773,0.9785096739685593
80,0.6990034890168326,0.7016592661836878,0.6891185739786828,0.9784487178747012
81,0.7002168389041691,0.7023603645711615,0.6900050592347264,0.9785162108209232
82,0.6999398163252893,0.7020331853236738,0.6897518957954534,0.9785044618824855
83,0.7002999447756179,0.702266884786165,0.6900689043522176,0.9785298097053295
84,0.7002828941197746,0.702079925216172,0.6897407180725437,0.9784764478891584
85,0.7002889116889285,0.7022201448936668,0.6899784980783996,0.9785090577182326
86,0.7002658085839644,0.7024071044636597,0.6899583721684861,0.978493363161369
87,0.7004411030314212,0.7025940640336528,0.6904200480774837,0.9785366729425458
88,0.6993396604432217,0.7012386071512036,0.6890698247347719,0.97843860121617
89,0.7002729939146934,0.7017527459686843,0.6895936225888663,0.9784688408872252
90,0.7005709376837331,0.7025473241411545,0.6902364461892144,0.9785167757173715
91,0.700169346899639,0.7020331853236738,0.6898498374342174,0.9784903719167388
92,0.7001137244309814,0.702079925216172,0.6897759617699586,0.9785033446829398
93,0.7000429489693377,0.7023136246786632,0.6900435611015694,0.9785147253797407
94,0.6997005609249262,0.7016125262911895,0.6893810911861775,0.9784770367577844
95,0.6994701494104849,0.7016125262911895,0.6893315030419711,0.9784660729550568
96,0.7002686986286708,0.7024071044636597,0.690214169811259,0.9785257321018677
97,0.700531936457739,0.7025473241411545,0.6901571368861614,0.978505533092031
98,0.701166139062653,0.7029212432811405,0.6907391705106483,0.9785531519239852
99,0.7003182469855841,0.7025940640336528,0.6903900908705688,0.978545372945117
